Job ID,Company Name,Location,Post Date,No. Applicants,No. Employees,Salary,Original Salary,URL
143,Bernard Nickels & Associates,New York,17 minutes ago,17 applicants,51-200,26.0,$26/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-at-bernard-nickels-associates-3948086553
148,TekIntegral,New York,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/crime-data-analyst-at-tekintegral-3940998061
151,ICONMA,New York,11 hours ago,100+,"1,001-5,000",35.63,$35.63/hr - $42.76/hr,https://www.linkedin.com/jobs/view/data-analys-hr-at-iconma-3943329787
152,Artmac,California,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-artmac-3942659582
153,Lockton,California,3 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-lockton-3946155902
155,Simpson Thacher & Bartlett LLP,New York,1 hour ago,72 applicants,"1,001-5,000",80000.0,$80K/yr - $100K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-at-simpson-thacher-bartlett-llp-3944071146
157,Inizio Evoke,Massachusetts, 2 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-inizio-evoke-3947959365
159,Kaseware,Colorado,2 weeks ago,21 applicants,51-200,85000.0,$85K/yr - $110K/yr,https://www.linkedin.com/jobs/view/business-data-analyst-at-kaseware-3942614809
160,Luxoft,Washington,1 week ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-luxoft-3941402511
163,ICONMA,Washington,6 days ago,100+,"1,001-5,000",36.41,$36.41/hr - $38.01/hr,https://www.linkedin.com/jobs/view/data-analyst-i-at-iconma-3939439983
167,"LanceSoft, Inc.",Minnesota,1 month ago,31 applicants,"5,001-10,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-lancesoft-inc-3938446122
168,Talent Groups,United States,8 hours ago,100+,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-at-talent-groups-3947973173
169,Syntricate Technologies,United States,3 weeks ago,41 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944222345
170,Dexian,Massachusetts,5 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-dexian-3943388692
174,Brooksource,Greater Houston,2 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3944018070
175,Tata Consultancy Services,Texas,1 week ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3940573633
182,City Barbeque,Ohio,6 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-city-barbeque-3942910740
185,IntePros,Pennsylvania, 1 week ago,100+,201-500,50.0,$50/hr,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-3941792297
193,The Walt Disney Company,California, 3 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3901104765
196,Master Builders Solutions,Ohio,1 hour ago,48 applicants,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-digital-team-at-master-builders-solutions-3946915060
197,CMD,Oregon,6 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-cmd-3941973465
202,Universal Energy Solutions,Florida,1 month ago,100 applicants,11-50,35000.0,$35K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-universal-energy-solutions-3929032281
203,Insight Global,Florida,4 days ago,100+,"1,001-5,000",40.0,$40/hr - $43/hr,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3941360720
204,Lyft,New York,1 week ago,100+,"5,001-10,000",77000.0,$77K/yr - $96.2K/yr,https://www.linkedin.com/jobs/view/data-analyst-lyft-media-at-lyft-3941227696
206,AKA,New York,1 day ago,100+,51-200,,,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-aka-3947423875
211,Veritas Partners,Washington,9 hours ago,100+,1-10,100000.0,$100K/yr - $130K/yr,https://www.linkedin.com/jobs/view/data-analyst-banking-at-veritas-partners-3946632976
213,Fora Travel,New York,3 days ago,100+,11-50,85000.0,$85K/yr - $105K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-fora-travel-3945677674
215,"Milestone Technologies, Inc.",New York,3 hours ago,100+,"1,001-5,000",36.0,$36/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-reporting-and-insights-at-milestone-technologies-inc-3944006378
218,Syntricate Technologies,Virginia,4 months ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3822601041
221,Petco,United States, 1 hour ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-retail-media-performance-at-petco-3944062805
224,Syntricate Technologies,Georgia,4 months ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3822196545
225,Alpine Solutions Group,Pennsylvania,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-alpine-solutions-group-3938813857
229,LTIMindtree,United States,4 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/business-data-analyst-at-ltimindtree-3943590646
230,Darwill,Illinois,26 minutes ago,36 applicants,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-at-darwill-3944087082
238,Clark Schaefer Strategic HR,Ohio,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-clark-schaefer-strategic-hr-3942689118
239,Rysun Labs,Florida,3 days ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-rysun-labs-3946131877
240,Stripe,Illinois,5 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-stripe-3943774117
244,Insight Global,Tennessee,5 days ago,100+,"1,001-5,000",26.0,$26/hr - $32/hr,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3940365949
245,Veronica Beard,New York,1 day ago,100+,201-500,65000.0,$65K/yr - $75K/yr,https://www.linkedin.com/jobs/view/junior-business-intelligence-analyst-at-veronica-beard-3945788836
247,Realtor.com,Texas, 3 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-realtor-com-3926110994
248,TSS,Texas,1 week ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-tss-3938827934
251,Avani Tech Solutions Private Limited,Virginia,9 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-with-power-bi-at-avani-tech-solutions-private-limited-3946619152
253,Syntricate Technologies,United States,1 month ago,51 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944222344
260,The Walt Disney Company,California,4 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3943830415
270,hackajob,Pennsylvania,20 hours ago,100+,51-200,80000.0,$80K/yr - $110K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3943083289
274,Nestlé Nespresso SA,New York,1 week ago,100+,"5,001-10,000",110000.0,$110K/yr - $125K/yr,https://www.linkedin.com/jobs/view/senior-data-analyst-customer-marketplace-analytics-at-nestl%C3%A9-nespresso-sa-3941196079
282,"Simpluris, Inc.",Florida,7 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/senior-data-analyst-remote-at-simpluris-inc-3946627091
287,Stripe,California,20 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/technical-data-analyst-at-stripe-3947479253
288,Tata Consultancy Services,New York,2 weeks ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3926676370
292,KellyMitchell Group,Washington,5 days ago,100+,"1,001-5,000",21.0,$21/hr - $30/hr,https://www.linkedin.com/jobs/view/data-analyst-at-kellymitchell-group-3944523294
296,Advantis Global is now INSPYR Solutions,Texas,5 days ago,100+,201-500,40.0,$40/hr - $50/hr,https://www.linkedin.com/jobs/view/data-analyst-at-advantis-global-is-now-inspyr-solutions-3940801026
310,Coders Data,San Francisco Bay Area,20 hours ago,100+,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-at-coders-data-3947192106
315,hackajob,North Carolina,5 days ago,100+,51-200,164000.0,$164K/yr - $223.1K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3943121795
321,Atria Wealth Solutions,United States,2 weeks ago,100+,201-500,,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3937003507
322,Valon,New York,20 hours ago,100+,201-500,97000.0,$97K/yr - $132K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-valon-3945930007
323,Syntricate Technologies,United States,1 month ago,14 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-4-in-north-chesterfield-va-at-syntricate-technologies-3944226001
327,Visionaire Partners,Georgia,5 days ago,100+,11-50,38.0,$38/hr - $40/hr,https://www.linkedin.com/jobs/view/data-analyst-at-visionaire-partners-3940380027
330,Primary Talent Partners,Texas,1 week ago,100+,201-500,35.0,$35/hr - $40/hr,https://www.linkedin.com/jobs/view/data-analyst-at-primary-talent-partners-3935386706
331,"Conch Technologies, Inc",United States,4 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/100%25-remote-data-analyst-at-conch-technologies-inc-3943844954
333,Maven,United States,2 weeks ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-maven-3934678930
338,Zortech Solutions,California,1 week ago,87 applicants,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-sql-python-visualization-tool-at-zortech-solutions-3941226852
339,Omaha Public Power District,Nebraska,5 days ago,100+,"1,001-5,000",30.58,$30.58/hr,https://www.linkedin.com/jobs/view/part-time-data-analyst-at-omaha-public-power-district-3943485680
342,Gatesman,Pennsylvania,8 hours ago,57 applicants,51-200,,,https://www.linkedin.com/jobs/view/business-intelligence-bi-analyst-at-gatesman-3947989104
343,Burtch Works,United States,5 days ago,100+,11-50,50.0,$50/hr - $55/hr,https://www.linkedin.com/jobs/view/data-analyst-at-burtch-works-3940374799
365,Gatesman,Illinois,5 hours ago,72 applicants,51-200,,,https://www.linkedin.com/jobs/view/business-intelligence-bi-analyst-at-gatesman-3947989101
377,The Walt Disney Company,California,5 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3943517264
386,Genesis10,Florida,1 week ago,100+,"1,001-5,000",25.0,$25/hr - $29/hr,https://www.linkedin.com/jobs/view/associate-data-analyst-at-genesis10-3938218950
387,Aditi Consulting,Ohio,6 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-level-1-at-aditi-consulting-3942673520
388,Concord Group Insurance,New Hampshire,2 weeks ago,100+,201-500,,,https://www.linkedin.com/jobs/view/associate-data-analyst-at-concord-group-insurance-3931683532
389,Aviva Systems Biology,California, 5 days ago,100+,51-200,60000.0,$60K/yr - $80K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-aviva-systems-biology-3937859593
395,The New York Times,New York,6 hours ago,100+,"1,001-5,000",80000.0,$80K/yr - $95K/yr,https://www.linkedin.com/jobs/view/analyst-data-and-insights-storytelling-at-the-new-york-times-3946673265
396,Midi Health,United States, 14 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-midi-health-3925519908
406,TALENT Software Services,Texas,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-talent-software-services-3938228146
420,Brooksource,United States,1 week ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3938811413
424,hackajob,New Jersey,22 hours ago,100+,51-200,70000.0,$70K/yr - $100K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3947169282
439,Vimergy,Florida,9 hours ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-vimergy-3944015496
447,Nordstrom,Washington,21 hours ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-2-nordstrom-analytical-platform-at-nordstrom-3947458451
451,Chipotle Mexican Grill,California,6 days ago,100+,"10,001+",98000.0,$98K/yr - $133K/yr,https://www.linkedin.com/jobs/view/senior-analyst-consumer-insights-at-chipotle-mexican-grill-3939285301
456,Vinsys Information Technology Inc,United States,5 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-4-part-time-remote-at-vinsys-information-technology-inc-3943489252
478,Wizcom Corporation (Formerly Dextro Software Systems),Pennsylvania,1 week ago,100+,201-500,,,https://www.linkedin.com/jobs/view/business-data-analyst-at-wizcom-corporation-formerly-dextro-software-systems-3941663441
488,Supernal,District of Columbia,4 days ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-supernal-3945137961
494,Ariel Investments,Illinois,5 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-ariel-investments-3943784142
501,Tata Consultancy Services,Washington,2 weeks ago,100+,"10,001+",120000.0,$120K/yr - $150K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3931624804
507,Atria Wealth Solutions,United States,1 week ago,100+,201-500,,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938784595
515,Mindlance,Washington,5 days ago,100+,"1,001-5,000",40.0,$40/hr - $45/hr,https://www.linkedin.com/jobs/view/data-analyst-at-mindlance-3944267720
517,Bernard Nickels & Associates,Illinois,30 minutes ago,24 applicants,51-200,26.0,$26/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-at-bernard-nickels-associates-3948089336
518,Qual IT Resources,Ohio,1 week ago,100+,51-200,70000.0,$70K/yr - $73K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-qual-it-resources-3942311667
524,Ccube,New Jersey,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/business-data-analyst-at-ccube-3942515174
526,Harvey Nash,United States,2 weeks ago,100+,"5,001-10,000",60.0,$60/hr - $70/hr,https://www.linkedin.com/jobs/view/data-analyst-at-harvey-nash-3927466214
529,Russell Tobin,California,1 week ago,100+,201-500,35.0,$35/hr - $43/hr,https://www.linkedin.com/jobs/view/data-analyst-at-russell-tobin-3941941910
532,Kforce Inc,Ohio,4 days ago,100+,"1,001-5,000",57.0,$57/hr,https://www.linkedin.com/jobs/view/data-analyst-level-1-at-kforce-inc-3941337005
537,Cincinnati Development Fund,Cincinnati Metropolitan Area,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-cincinnati-development-fund-3939803429
541,Brooksource,Michigan,1 week ago,100+,"1,001-5,000",60000.0,$60K/yr - $63K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3937845291
545,CDW,United States,5 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-cdw-3943736135
550,Numero Data,Virginia,23 hours ago,100+,51-200,70000.0,$70K/yr - $75K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-3943053327
568,Stellar Professionals,United States,1 day ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-stellar-professionals-3945745371
570,Atria Wealth Solutions,California,2 weeks ago,100+,201-500,55000.0,$55K/yr - $62K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3937027212
582,TekJobs,United States,1 day ago,100+,1-10,,,https://www.linkedin.com/jobs/view/data-analyst-at-tekjobs-3943001678
585,Murtech Staffing & Solutions,Pennsylvania,6 hours ago,100+,51-200,105000.0,$105K/yr - $110K/yr + Bonus,https://www.linkedin.com/jobs/view/data-analyst-at-murtech-staffing-solutions-3948012399
587,Motion Recruitment,United States,1 week ago,100+,"501-1,000",60.0,$60/hr,https://www.linkedin.com/jobs/view/product-data-analyst-at-motion-recruitment-3942199513
591,HireTalent - Diversity Staffing & Recruiting Firm,United States,2 weeks ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-hiretalent-diversity-staffing-recruiting-firm-3933928662
594,IntePros,Pennsylvania,6 days ago,100+,201-500,55.0,$55/hr - $61/hr,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-3939800017
629,Syntricate Technologies,North Carolina,1 week ago,38 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944543664
633,Dgrnte,Washington,1 week ago,100+,1-10,90000.0,$90K/yr - $120K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-dgrnte-3938648319
640,Remi,Utah,1 week ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-bi-analyst-at-remi-3939756825
663,Stripe,United States,2 hours ago,94 applicants,"1,001-5,000",,,https://www.linkedin.com/jobs/view/technical-data-analyst-at-stripe-3948065901
667,Sand Cherry,Colorado,3 weeks ago,100+,51-200,65000.0,$65K/yr - $75K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-sand-cherry-3931715599
674,Zortech Solutions,California,2 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-sql-tableau-at-zortech-solutions-3945308223
686,Gartner,Texas,1 week ago,100+,"10,001+",66000.0,$66K/yr - $86.9K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-gartner-3941289416
706,One Network Enterprises,Texas,1 day ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-one-network-enterprises-3945794238
715,Asta Crs Inc,Virginia,6 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-asta-crs-inc-3942748358
717,Atria Wealth Solutions,New York,2 weeks ago,100+,201-500,55000.0,$55K/yr - $62K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3937027211
720,Atria Wealth Solutions,United States,1 week ago,100+,201-500,,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938781830
725,Atria Wealth Solutions,United States,1 week ago,100+,201-500,,,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3938787059
729,Optomi,Texas,1 day ago,100+,"501-1,000",85000.0,$85K/yr - $100K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-optomi-3945771353
731,Numero Data,Virginia,2 weeks ago,100+,51-200,70000.0,$70K/yr - $75K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-3927839665
738,Realtor.com,Texas, 5 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-realtor-com-3943907511
755,Johnson & Johnson,New Jersey,1 week ago,100+,"10,001+",30.0,$30/hr - $33/hr,https://www.linkedin.com/jobs/view/data-analyst-at-johnson-johnson-3936912394
775,Genpact,New York,6 days ago,100+,"10,001+",80000.0,$80K/yr - $100K/yr,https://www.linkedin.com/jobs/view/business-data-analyst-at-genpact-3941962359
781,Tech Mahindra,California,1 week ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-tech-mahindra-3938005656
797,Syntricate Technologies,United States,1 month ago,31 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944224080
815,StraussGroup - Executive Search Consultants,Buffalo-Niagara Falls Area,1 week ago,100+,11-50,65000.0,$65K/yr - $85K/yr + Bonus,https://www.linkedin.com/jobs/view/energy-data-analyst-at-straussgroup-executive-search-consultants-3942187399
843,PDI Technologies,United States,1 week ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-pdi-technologies-3941419269
850,Atlantic Group,Massachusetts,1 week ago,100+,51-200,45.0,$45/hr - $65/hr,https://www.linkedin.com/jobs/view/data-analyst-at-atlantic-group-3938781787
